Country	2021	2022	2023
EU	221.1	255.4	284.4
Belgium	4.4 	4.3 	6.0 
Bulgaria	5.7 	5.4 	6.7 
Czechia	7.5 	5.2 	4.4 
Denmark	5.7 	5.9 	6.3 
Germany	57.8 	75.7 	72.6 
Estonia		1.0 	
Ireland			
Greece	5.4 	9.1 	8.4 
Spain	15.7 	20.1 	20.2 
France	26.6 	24.2 	38.4 
Croatia	1.9 	2.8 	4.9 
Italy	14.3 	16.3 	17.3 
Cyprus			
Latvia			
Lithuania	1.8 	2.1 	2.7 
Luxembourg			
Hungary	5.9 	6.6 	6.6 
Malta			
Netherlands	13.5 	16.9 	17.5 
Austria	7.6 	10.0 	11.9 
Poland	14.3 	14.3 	20.2 
Portugal	4.4 	5.2 	7.1 
Romania			6.6 
Slovenia	1.3 	1.3 	1.6 
Slovakia			
Finland	5.6 	5.5 	6.5 
Sweden	10.1 	11.2 	11.6 
Norway		5.9 	6.3 
Switzerland	8.0 	8.2 	8.4 
Serbia	4.9 	6.1 	6.2 
Türkiye	20.1 	29.6 	34.1 
